source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,month,year
Oregon DOT,,7955,2016-03-22 12:00:00,,"OR 36, milepost 6.5",,"OR 36, milepost 6.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,7955.0,United States,US,Oregon,8466.0,Florence,23.49412,06/30/2016 02:48:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.8296,44.0645,3,2016
Oregon DOT,,8043,2015-12-20 07:20:00,,"OR 34, milepost 22.5",,"OR 34, milepost 22.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8043.0,United States,US,Oregon,2033.0,Waldport,21.14737,06/30/2016 06:23:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.812,44.3784,12,2015
Oregon DOT,,8246,2014-12-22 11:32:00,,"OR 126, milepost 14.9",,"OR 126, milepost 14.9",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8246.0,United States,US,Oregon,8466.0,Florence,20.7787,07/05/2016 06:09:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.8501,44.0323,12,2014
SFGate,http://www.sfgate.com/bayarea/article/Rain-causes-Highway-1-mudslide-but-dry-spell-5969286.php,6574,2014-12-19 15:00:00,,Highway 1 north of Stinson Beach,Mudslides along Highway 1 north of Stinson Beach closed the road between that community and Bolinas on Friday afternoon.,Highway 1 north of Stinson Beach,5km,landslide,continuous_rain,small,above_road,0.0,0.0,,https://pbs.twimg.com/media/B5P9BbeCEAA7Bkm.jpg,,glc,6574.0,United States,US,California,1620.0,Bolinas,1.77082,12/22/2014 02:25:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.691,37.9327,12,2014
whittierdailynews,http://www.whittierdailynews.com/news/ci_16921417,2894,2010-12-22 04:57:00,,"LA HABRA HEIGHTS, CA","LA HABRA HEIGHTS - Industry Sheriff's deputies received a report of a small mudslide partially blocking the road at Avocado Crest Road and Skycrest Drive at 4:57 a.m. A work crew is removing the slide. No homes were affected and no injuries were reported, Lt. Victor Sotelo said.","LA HABRA HEIGHTS, CA",1km,mudslide,downpour,small,unknown,0.0,,,,,glc,2894.0,United States,US,California,5325.0,La Habra Heights,1.31402,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-117.9587,33.9511,12,2010
Oregon DOT,,8732,2012-01-18 18:31:00,,"OR 34, milepost 32",,"OR 34, milepost 32",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8732.0,United States,US,Oregon,2033.0,Waldport,30.13179,07/08/2016 02:24:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.7073,44.3472,1,2012
Oregon DOT,,8527,2012-12-04 14:04:00,,"OR 38, milepost 10",,"OR 38, milepost 10",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8527.0,United States,US,Oregon,4154.0,Reedsport,14.30875,07/07/2016 02:28:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.9253,43.6691,12,2012
KOIN,http://koin.com/2014/06/05/massive-landslide-closes-old-historic-columbia-river-hwy/,7787,2014-06-14 12:00:00,,Troutsdale,"A landslide, what Multnomah County Sheriff’s officials call “massive,” has shut down the Historic Columbia River Highway east of the Stark St. Bridge two minutes east of Troutdale, Ore.",Troutsdale,1km,landslide,unknown,large,above_road,0.0,0.0,,https://lintvkoin.files.wordpress.com/2014/06/landslide-nets.jpg,,glc,7787.0,United States,US,Oregon,15962.0,Troutdale,3.3453,06/21/2016 04:52:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.3587,45.5169,6,2014
Oregon DOT,,8548,2012-11-20 09:31:00,,"OR 138, milepost 53",,"OR 138, milepost 53",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8548.0,United States,US,Oregon,1795.0,Glide,47.42441,07/07/2016 03:05:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.5167,43.3047,11,2012
KGW.com News Channel 8 Portland,http://www.kgw.com/news/neighborhood-news/central-coast/Landslide-forces-evacuation-of-homes-in-Otis-248924181.html#http://www.kgw.com/news/neighborhood-news/central-coast/Landslide-forces-evacuation-of-homes-in-Otis-248924181.html,5932,2014-03-06 00:00:00,,"600-648 N Overlook Loop Otis, OR 97368","Heavy rain triggered a landslide in the small town of Otis, just north of Lincoln City Thursday.","600-648 N Overlook Loop Otis, OR 97368",1km,landslide,downpour,medium,unknown,0.0,0.0,,,,glc,5932.0,United States,US,Oregon,1894.0,Rose Lodge,1.85298,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.9039,45.01,3,2014
Oregon DOT,,8049,2015-12-18 20:33:00,,"US 101, milepost 134",,"US 101, milepost 134",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8049.0,United States,US,Oregon,1398.0,Depoe Bay,9.03177,06/30/2016 06:29:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-124.0576,44.7273,12,2015
KOMO,http://komonews.com/news/local/massive-landslide-stranding-residents-threatening-homes,5757,2014-01-09 00:00:00,,"Index, Washington","INDEX, Wash. - A massive mudslide in Index, near Sunset Falls, continues to threaten homes and residents fear the cost to clean-up the area will be one they can't afford.""Wild places like this involve turmoil. The earth is constantly changing,"" said resident Jeff Smith who lives on Mt. Index Road that is now buried under debris. The road is the only way in-and-out and residents are stranded. ","Index, Washington",10km,mudslide,unknown,large,natural_slope,0.0,0.0,,,,glc,5757.0,United States,US,Washington,2075.0,Gold Bar,12.42121,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-121.5509,47.8039,1,2014
q13,http://q13fox.com/2016/10/18/mudslide-knocks-down-power-lines-blocks-west-valley-highway-in-pacific/,9640,2016-10-18 09:00:00,,West Valley Highway in Pacific,Mud and debris forced the closure of the West Valley Highway in Pacific Tuesday morning.,West Valley Highway in Pacific,5km,mudslide,rain,small,above_road,0.0,0.0,,https://pbs.twimg.com/media/CvD0K31VMAAgc4d.jpg,,glc,9640.0,United States,US,Washington,6606.0,Pacific,0.97924,10/19/2016 07:06:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.2625,47.267,10,2016
vvdailypress,http://www.vvdailypress.com/news/san-17421-dimas-closure.html,1512,2010-02-18 09:00:00,,"Interstate 10 and northbound 71 Freeway to the northbound 57 Freeway, San Dimas, CA","Commuters may have to find a different route to and from work over the next few days as Caltrans shut down the transition roads from the westbound Interstate 10 and northbound 71 Freeway to the northbound 57 Freeway Thursday morning after a hillside collapsed onto traffic lanes. According to California Highway Patrol officials, the clean up may take several days and possibly up to a week as rain is expected over the weekend. There are reports there may be a car trapped in the mud, dirt and rock debris, but as of 2:30 p.m., none had been found. Recent rains probably helped bring about the hill's collapse, according to Cal Poly Pomona geology professor Jonathan Nourse. Though it wasn't raining when the landslide occurred, water from recent rains likely rested within the hillside.","Interstate 10 and northbound 71 Freeway to the northbound 57 Freeway, San Dimas, CA",1km,mudslide,rain,small,unknown,0.0,,,,,glc,1512.0,United States,US,California,33371.0,San Dimas,4.26913,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-117.8056,34.0682,2,2010
Oregon DOT,,8130,2015-12-08 11:47:00,,"OR 6, milepost 20",,"OR 6, milepost 20",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8130.0,United States,US,Oregon,4935.0,Tillamook,23.74046,07/01/2016 03:19:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.5827,45.5635,12,2015
Columbian,http://www.columbian.com/news/2011/feb/14/rail-traffic-remains-halted-following-landslide/,3118,2011-02-13 00:12:00,,"tracks just south of Felida Moorage, north of Vancouver, between rail junction and Felida, WA","Rail travel on Amtrak between Portland and Seattle has been delayed until Thursday morning after being stalled over the weekend and all day Monday by three landslides along the route in the Felida area. The most recent was about 6:30 p.m. Monday.  A 48-hour moratorium on passenger travel is instituted following a landslide, said BNSF spokesman Gus Melonas. In the meantime, Amtrak was using charter buses to transport travelers between Portland and Seattle.  As a result of the Monday evening slide — which was in the same area as the first two — and the moratorium, passenger traffic on the north-south route is expected to resume Thursday morning, said Marc Magliari, an Amtrak spokesman.  The first slide, at 6:50 a.m. Saturday, covered a section of the BNSF Railway track between Vancouver’s rail junction and Felida.  Crews quickly cleared the mud, rocks, trees and other debris from each landslide.  Melonas said a shelf atop a 100-foot-high cliff adjacent to the tracks peeled off.  The slid","tracks just south of Felida Moorage, north of Vancouver, between rail junction and Felida, WA",5km,landslide,downpour,small,above_road,0.0,,,,,glc,3118.0,United States,US,Washington,7385.0,Felida,1.06543,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.7038422,45.68818457,2,2011
Oregon DOT,,8626,2012-03-26 19:07:00,,"OR 34, milepost 48",,"OR 34, milepost 48",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8626.0,United States,US,Oregon,4584.0,Philomath,13.3336,07/07/2016 05:23:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.5013,44.4677,3,2012
KEZI,http://kezi.com/news/local/237065,4155,2012-01-19 00:00:00,,Highway 36 toward Mapleton,"VIDA, Ore. -- The wet weather has activated two main landslides -- one off Highway 36 toward Mapleton and the other on Highway 126 east of Vida.",Highway 36 toward Mapleton,5km,landslide,rain,small,unknown,0.0,,,,,glc,4155.0,United States,US,Oregon,8466.0,Florence,19.17647,09/15/2014 07:58:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.8748,44.041,1,2012
Oregon DOT,,8271,2014-12-08 09:58:00,,"US 101, milepost 334.2",,"US 101, milepost 334.2",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8271.0,United States,US,Oregon,2253.0,Gold Beach,7.57069,07/05/2016 06:48:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-124.4124,42.3395,12,2014
kptv,http://www.kptv.com/story/17179646/mudslides-slow-drivers-on-local-roads,4267,2012-03-16 09:00:00,,"Highway 224 just west of the Ripplebrook Ranger Station, OR","The wet weather is creating some unstable ground around Oregon. A mudslide closed part of Highway 224 just west of the Ripplebrook Ranger Station. The slide happened early Friday morning and crews are still working to clear the mud and debris. A chunk of land is also causing problems on the Historic Colombia River Highway. Debris is covering the road near the Stark Street Bridge, about two miles east of Troutdale. Mud came sliding down the hillside last night. ","Highway 224 just west of the Ripplebrook Ranger Station, OR",5km,mudslide,rain,small,unknown,0.0,,,,,glc,4267.0,United States,US,Oregon,4864.0,Mount Hood Village,30.43806,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.0578,45.087,3,2012
Oregon DOT,,8328,2014-03-26 20:00:00,,"OR 86, milepost 26",,"OR 86, milepost 26",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8328.0,United States,US,Oregon,9828.0,Baker City,35.55235,07/05/2016 07:58:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-117.3888,44.816,3,2014
Oregon DOT,,8739,2012-01-18 08:01:00,,"I 5, milepost 299.2",,"I 5, milepost 299.2",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8739.0,United States,US,Oregon,583776.0,Portland,3.40917,07/08/2016 02:31:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.6738,45.4928,1,2012
Oregon DOT,,8008,2016-01-20 13:21:00,,"OR 47, milepost 51.7",,"OR 47, milepost 51.7",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8008.0,United States,US,Oregon,2151.0,Vernonia,11.84403,06/30/2016 05:20:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.1705,45.9641,1,2016
Oregon DOT,,8855,2011-01-13 21:12:00,,"OR 224, milepost 43",,"OR 224, milepost 43",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8855.0,United States,US,Oregon,2695.0,Estacada,24.64026,07/08/2016 06:16:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.0936,45.1469,1,2011
Oregon Alive The  Oregonian,http://www.oregonlive.com/news/index.ssf/2014/02/i-84_landslide_watch_crews_to.html#http://www.oregonlive.com/news/index.ssf/2014/02/i-84_landslide_watch_crews_to.html,5859,2014-02-11 00:00:00,,Wallowa-Whitman National Forest Avalanche Injures Skiiers,"After many hours stranded when an avalanche struck, two backcountry skiers were finally rescued Wednesday from the Wallowa Mountains. They are recovering and being treated for broken bones and other injuries in the incident that killed two others in their group on Tuesday.","59866 Upper Lostine Rd Wallowa-Whitman National Forest, Enterprise, OR 97828",25km,snow_avalanche,unknown,large,unknown,2.0,2.0,,,,glc,5859.0,United States,US,Oregon,1081.0,Joseph,22.16606,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-117.3062,45.1623,2,2014
Oregon DOT,,8705,2012-01-19 18:27:00,,"OR 226, milepost 19",,"OR 226, milepost 19",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8705.0,United States,US,Oregon,1161.0,Lyons,7.20239,07/08/2016 01:49:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.6875,44.7353,1,2012
USGS,http://landslides.usgs.gov/recent/archives/1997seattle.php,7826,1997-01-01 00:00:00,,West Seattle,http://landslides.usgs.gov/recent/archives/1997seattle.php,West Seattle,1km,debris_flow,downpour,medium,above_road,0.0,0.0,,http://landslides.usgs.gov/recent/archives/images/seattle/seattlew.jpg,,glc,7826.0,United States,US,Washington,608660.0,Seattle,4.20271,06/23/2016 06:08:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.3807,47.5876,1,1997
b-townblog,http://www.b-townblog.com/2010/12/12/photos-scenes-from-the-weekend-deluge-subsequent-flooding/,2817,2010-12-12 09:00:00,,"2400 block SW 172nd, Burien, WA","A landslide happened in the 2400 block of SW 172nd, near Three Tree Point; according to KING5.com: “…a mudslide sent a beam into a home in the 2400 block of SW 172nd. Firefighters helped three people out of the home. Fortunately, no one was injured.” We could see no evidence of the slide from the road, although we’ve received confirmation of it as well as this pic:","2400 block SW 172nd, Burien, WA",1km,landslide,downpour,medium,unknown,0.0,,,,,glc,2817.0,United States,US,Washington,6335.0,Normandy Park,2.15832,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.3633,47.4481,12,2010
Oregon DOT,,8586,2012-07-12 23:12:00,,"OR 202, milepost 16",,"OR 202, milepost 16",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8586.0,United States,US,Oregon,1462.0,Gearhart,19.42853,07/07/2016 03:49:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.6638,46.0534,7,2012
KGW,http://www.kgw.com/story/news/local/2014/11/05/landslide-covers-highway-224-near-estacada/18561137/,6366,2014-11-05 00:00:00,,the 36 Pit Fire,"A landslide covered all lanes of Highway 224 near Estacada, cutting off residents from rural communities Wednesday.",the 36 Pit Fire,5km,rock_fall,unknown,small,above_road,0.0,0.0,,https://pbs.twimg.com/media/B1ygBtiIEAIK2Yy.jpg,,glc,6366.0,United States,US,Oregon,2695.0,Estacada,13.39445,11/07/2014 07:13:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.2189,45.2004,11,2014
Oregon DOT,,8664,2012-03-02 08:19:00,,"US 101, milepost 80.4",,"US 101, milepost 80.4",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8664.0,United States,US,Oregon,1035.0,Pacific City,13.40476,07/07/2016 05:55:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.8289,45.2771,3,2012
kmtr,http://www.kmtr.com/news/local/story/Landslide-hits-Highway-38/dcBu5naZHUCucHvzgsHPNg.cspx,3155,2011-02-28 07:00:00,,"rt 38, mile marker 13, east of Reedsport, OR","Reedsport (KMTR) - ODOT crews are asking drivers to take extra caution on Highways 42 and 38 as crews continue cleanup this week.  A major slide hit Highway 38 east of Reedsport at about 7 this morning.  A large tree came crashing down the hill, near mile marker 13.  ODOT says with a stormy week ahead, drivers should be on the lookout out for debris in the road, even if you're not near a major slide.  They're asking drivers to give themselves extra time on both highways.  ODOT expects more debris to come down the hill on Highway 38 as heavy rains continue, and crews will likely be working on Highway 42 for about a month.","rt 38, mile marker 13, east of Reedsport, OR",5km,landslide,downpour,small,unknown,0.0,,,,,glc,3155.0,United States,US,Oregon,4154.0,Reedsport,18.25439,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.8817,43.6511,2,2011
Oregon DOT,,8417,2014-12-22 15:24:00,,"OR 22, milepost 30",,"OR 22, milepost 30",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8417.0,United States,US,Oregon,1855.0,Mill City,0.31566,07/06/2016 03:59:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.4789,44.7568,12,2014
KETK,http://www.ketknbc.com/news/campers-being-rescued-after-mudslide-traps-them-in,6430,2014-08-03 00:00:00,,Forest Home camp,"As many as 500 children and adults are being safely evacuated Monday after torrential rain and mudslides trapped them at a Southern California church camp, a spokesman for the San Bernardino County Fire Department told CNN.",Forest Home camp,5km,mudslide,downpour,medium,unknown,0.0,0.0,,,,glc,6430.0,United States,US,California,51367.0,Yucaipa,13.02571,12/08/2014 10:06:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-116.9176,34.0873,8,2014
Oregon DOT,,8437,2013-09-29 19:40:00,,"OR 126, milepost 9",,"OR 126, milepost 9",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8437.0,United States,US,Oregon,59403.0,Springfield,11.76237,07/06/2016 05:26:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.8753,44.049,9,2013
Oregon DOT,,8615,2012-03-30 08:36:00,,"OR 126, milepost 20",,"OR 126, milepost 20",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8615.0,United States,US,Oregon,8466.0,Florence,27.29427,07/07/2016 04:57:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.7615,44.0091,3,2012
seattletimes.nwsource,http://seattletimes.nwsource.com/html/localnews/2017637705_apwaeverettmudslide1stld.html?syndication=rss,4236,2012-03-01 01:45:00,,"Everett, WA","A mudslide hit railroad tracks early Thursday in the same area they were hit Feb. 22 at Everett. BNSF spokesman Gus Melonas (mel-OWN'-us) says the slide at 1:45 a.m. Thursday was detected by sensors that signaled a train to stop. Mud, rock and trees covered about 20 feet of track about 5 feet deep. BNSF equipment cleared the track by 9 a.m. Melonas says 8 freight trains were delayed.","Everett, WA",10km,mudslide,unknown,small,unknown,0.0,,,,,glc,4236.0,United States,US,Washington,103019.0,Everett,3.08751,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.1944,47.9517,3,2012
kcra,http://www.kcra.com/news/27210009/detail.html,3229,2011-03-15 23:00:00,,"I-80 near Auburn, CA","Rain causes roadway flooding, mudslides and accidents.  CHP officers in the foothills were slammed Tuesday night with calls of traffic hazards from the heavy rain.  There were mudslides in several different places throughout Auburn, Grass Valley and Placerville.  Several hillsides were turned into waterfalls that sent water, mud and debris into the roadway.  Along Interstate 80 near Auburn one lane of traffic was affected by a small mudslide.","I-80 near Auburn, CA",25km,mudslide,downpour,small,unknown,0.0,,,,,glc,3229.0,United States,US,California,13022.0,North Auburn,4.29588,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-121.0526,38.9625,3,2011
vcstar,http://www.vcstar.com/news/2010/dec/31/minor-mudslide-on-hwy-150-near-santa-paula/,2920,2010-12-31 18:00:00,,Hwy 150 near Santa Paula,"A minor mudslide was reported Friday evening on eastbound lanes of Highway 150 around Thomas Aquinas College near Santa Paula, authorities said.The slide was reported shortly after 6 p.m. on a blind curve of Highway 150. As of 6:45 p.m., the California Highway Patrol reported that the slide was minor and that a unit on the scene would be able to remove the debris. Eastbound lanes were expected to reopen shortly thereafter.",Hwy 150 near Santa Paula,1km,mudslide,rain,small,unknown,0.0,,,,,glc,2920.0,United States,US,California,29321.0,Santa Paula,8.67385,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-119.092,34.4275,12,2010
Oregon DOT,,8105,2015-12-08 18:00:00,,"OR 6, milepost 20",,"OR 6, milepost 20",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8105.0,United States,US,Oregon,4935.0,Tillamook,23.73893,06/30/2016 07:40:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.5827,45.5635,12,2015
USGS,http://landslides.usgs.gov/recent/archives/1998pnwstorms/,7817,1998-12-28 00:00:00,,"Nestucca River basin, 14 miles east of Beaver","Gravel-, cobble-, and boulder-sized rocks in a sandy matrix. Temporarily blocked road.","Nestucca River basin, 14 miles east of Beaver",exact,debris_flow,downpour,small,above_road,0.0,0.0,,,,glc,7817.0,United States,US,Oregon,1661.0,Grand Ronde,20.21137,06/23/2016 04:49:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.6046,45.2419,12,1998
newportnewstimes,http://www.newportnewstimes.com/v2_news_articles.php?heading=0&page=72&story_id=37200,4684,2012-12-26 00:00:00,,"Mill Creek Resevoir Dam, Toledo, OR","City councilors learned this week of landslides and heavy rains last week that washed away large trees, sent tons of material downstream and exposed the buried inner workings of the Mill Creek Reservoir dam, which holds the municipal water supply.","Mill Creek Resevoir Dam, Toledo, OR",1km,landslide,rain,medium,unknown,,,,,,glc,4684.0,United States,US,Washington,18244.0,Mill Creek,1.3528,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.2146,47.8501,12,2012
AGU Blog,http://blogs.agu.org/landslideblog/2011/06/28/video-of-the-week-debris-avalanche-on-mout-rainier/,7792,2011-06-24 00:00:00,,Camp Muir and Nisqually Glacier,http://mountrainierclimbing.blogspot.com/2011/06/large-rock-avalanches-on-nisqually.html,Camp Muir and Nisqually Glacier,5km,rock_fall,unknown,medium,other,0.0,0.0,,http://personal.denison.edu/~klemettie/images/RainierJune25.jpg,,glc,7792.0,United States,US,Washington,2758.0,Eatonville,39.83696,06/21/2016 07:40:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-121.7468,46.8317,6,2011
oregonlive,http://www.oregonlive.com/portland/index.ssf/2012/12/small_landslide_closes_nw_corn.html,4668,2012-12-20 12:00:00,,"NW Cornell Road, Portland, OR","A small landslide at around noon forced the closure of NW Cornell Road, Portland city officials said. Traffic is being routed onto NW Thompson Road and NW 53rd Avenue. The road is expected to be closed until sometime Friday.","NW Cornell Road, Portland, OR",10km,landslide,rain,medium,unknown,,,,,,glc,4668.0,United States,US,Oregon,6009.0,West Haven,1.3769,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.7701,45.53,12,2012
Peninsula Daily News,http://www.peninsuladailynews.com/article/20160129/NEWS/301299972,9262,2016-01-28 00:00:00,,Olympic Discovery Trail 1 mile east of the Rayonier site in Port Angeles,"A trio of mudslides blocked the Olympic Discovery Trail in two locations and a residential road near Lake Sutherland during this week's wet weather.  A wet winter paired with a lot of recent rainfall has resulted in multiple mudslides in Clallam County, which is normal for this time of year, said Ross Tyler, Clallam County engineer.  “The ground is saturated, and we got a big dump [of rain],” Tyler said.  Lake Sutherland's South Shore Road was temporarily closed at about noon Thursday at a location three-quarters of a mile from U.S. Highway 101 when trees and mud slid across the road, completely covering it, he said.  Crews cleared and reopened part of the road, allowing for one lane of traffic into the neighborhood on the south side of Lake Sutherland, which Tyler said has no other access.  Tyler said he expects county road crews to have the road cleared by the end of today.  Trail blocked   The Olympic Discovery Trail was blocked in two locations by Thursday.  A mudslide on the trail",Olympic Discovery Trail 1 mile east of the Rayonier site in Port Angeles,1km,landslide,continuous_rain,small,natural_slope,0.0,0.0,,http://www.peninsuladailynews.com/apps/pbcsi.dll/bilde?Site=PT&Date=20160129&Category=NEWS&ArtNo=301299972&Ref=AR&maxw=350,,glc,9262.0,United States,US,Washington,3036.0,Port Angeles East,0.82085,08/01/2016 04:14:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.3754,48.1136,1,2016
CBS 2 News,http://cbs2.com/topstories/local_story_287131556.html,310,2007-10-14 06:45:00,,"Placerita Canyon Road east of the Antelope Valley (14) Freeway, Santa Clarita, CA","6:45am, mud and rocks blocked both lanes of roadway","Placerita Canyon Road east of the Antelope Valley (14) Freeway, Santa Clarita, CA",5km,mudslide,rain,medium,unknown,,,,,,glc,310.0,United States,US,California,176320.0,Santa Clarita,6.85033,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-118.47,34.3778,10,2007
Oregon DOT,,8809,2011-03-02 00:08:00,,"OR 224, milepost 32",,"OR 224, milepost 32",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8809.0,United States,US,Oregon,2695.0,Estacada,11.93866,07/08/2016 05:25:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.2282,45.2122,3,2011
Oregon DOT,,8758,2011-11-28 09:20:00,,"OR 241, milepost 13.4",,"OR 241, milepost 13.4",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8758.0,United States,US,Oregon,9695.0,North Bend,15.64689,07/08/2016 04:02:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-124.0323,43.4222,11,2011
The Record Courier,http://www.recordcourier.com/news/17068595-113/washington-fire-in-alpine-county,7088,2015-07-01 15:00:00,,"Markleeville, Highway 4",A mudslide temporarily closed Highway 4 just east of Markleeville after a severe thunderstorm rolled through northern Mono and southern Alpine counties.  Forecasters warned that heavy rain on the Washington Fire burn could cause debris flows and mud slides.,"Markleeville, Highway 4",1km,mudslide,downpour,small,unknown,0.0,0.0,,,,glc,7088.0,United States,US,California,11312.0,Gardnerville Ranchos,21.20503,07/07/2015 06:43:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-119.7712,38.6987,7,2015
idahostatesman,http://www.idahostatesman.com/2012/12/02/2367089/us-95-closed-due-to-mudslide-south.html,4648,2012-12-02 00:00:00,,"U.S. 16, Capa Valley, CA","Multiple rock and mudslides have closed Highway 16 in the Capay Valley A Caltrans crew was able to clear the main mudslide above Rumsey by late morning Sunday, but it'll take a bit more work to clear some large boulders blocking parts of the highway in several places.eavy rain pounded the canyon early Sunday morning.Cache Creek was a raging, muddy river Sunday. The Cache Creek Regional Campground was technically still open, even if the highway was closed.","U.S. 16, Capa Valley, CA",5km,mudslide,rain,medium,unknown,,,,,,glc,4648.0,United States,US,California,3108.0,Esparto,3.42553,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.0471,38.7122,12,2012
